GAME_CLIENT_KEY,CLIENT_ID,GAME_ID,GAME_NAME,GAME_TYPE,TENANT_NAME,SOURCE_DATABASE,STATUS
c5c13a20c715be2f1b8418a380d60277,nhl,nhl_pepsi_goalie,NHL Pepsi Goalie Challenge,pickem,,low6_us,archived
00a7463485640180a0bc6788fcbf2b7c,nhl,nhl_preplay_canada,NHL Preplay Canada,pickem,,low6_awsuseast1,archived
cda622d6961fd2c1d8a562fae6eb7d25,nhl,nhl_preplay_canada,NHL Preplay Canada,pickem,,low6_us,archived
cf829286cdbfb5c2b058f071ae114e36,nhl,nhl_preplay_us,NHL Preplay US,pickem,,low6_us,archived
8641d409a07900824b1eb595d92c5dd6,nhl,nhl_quarter_century_vote,NHL Quarter Century Team Fan Vote,vote,,low6_us,archived
dd23ca78c31fc7824ea31365365129e3,nhl,nhl_statsstreak,NHL Stats Streak,streak,,low6_awsuseast1,archived
dee45d537046f3302167708903dc5871,nova,nova,Bengals Picks,pickem,,low6_us,archived
920d28dd57be1623f7977e517a9628b2,nova,nova,Han Pickem,pickem,,low6_us,archived
e9e300d83a64699ac3daaafe1b1492df,nova,nova,LA Chargers Picks,pickem,,low6_us,archived
47951037000826ab7db073eadf2fa5d4,nova,nova,Pistons Picks,pickem,,low6_us,archived
148e441e082199b554031f4bc29aa942,nova,nova,White Sox Pick to Click,pickem,,low6_us,archived
8f79ceb246105a10549f3f90de79150a,nova,nova_eu,De Kraker,pickem,De Kraker,low6,archived
9c19fb8d9955a23b7a304a16cacb2b42,nova,nova_eu,FC Groningen,pickem,FC Groningen,low6,archived
b38fe7dcd4ad511f824deac31f13928f,nova,nova_eu,Score4,pickem,Score4,low6,archived
544478c85b7934d88fcc0b444d6924e8,nova,nova_eu,TOTO,pickem,TOTO,low6,archived
de4081e1a45c3139c46ac5223d602587,nova,nova_uk,AFTV Picks,pickem,AFTV Picks,low6,archived
eafffa839e50411a1731f82ffac5f129,nova,nova_uk,Ayr U Picks,pickem,Ayr U Picks,low6,archived
34e4a3d259286c42d706455193a9c77e,nova,nova_uk,BAFC Picks,pickem,BAFC Picks,low6,archived
0bc0fa674a64d9859c064d8dbc3be8d2,nova,nova_uk,Blues Picks,pickem,Blues Picks,low6,archived
6819ff1e9fa7bcd1d4ab4a09cb410219,nova,nova_uk,Boro Picks,pickem,Boro Picks,low6,archived
f9781a1a54fe807d6d0bd95cec4b9e45,nova,nova_uk,BPIHT Picks,pickem,BPIHT Picks,low6,archived
e671cde57ac3d1d3453845abf48aa049,nova,nova_uk,BSB S Picks,pickem,BSB S Picks,low6,archived
88df364c977f77f993c8a7acf0d31766,nova,nova_uk,CFC Picks,pickem,CFC Picks,low6,archived
af869c36d9c2874b94409de2715e55e0,nova,nova_uk,DUFC Picks,pickem,DUFC Picks,low6,archived
0f6644459e66eee4b982c384142d1363,nova,nova_uk,Dundee,pickem,Dundee,low6,archived
afbeee9cd15510dac437ccdffea67921,nova,nova_uk,European Tour Picks,pickem,European Tour Picks,low6,archived
ce12842bc526e693a0d1455fbdb7a047,nova,nova_uk,ExilesPicks,pickem,ExilesPicks,low6,archived
19c550ca6a733034e33d7981f1f0af80,nova,nova_uk,Fights Picks Web,pickem,Fights Picks Web,low6,archived
593ad52927dd3030a3f0e99e14d72760,nova,nova_uk,FightsPicks,pickem,FightsPicks,low6,archived
573fd57be54f336e1eb37b703eb1d998,nova,nova_uk,GBFCSelects,pickem,GBFCSelects,low6,archived
b211e239e0a48ce5d20145a472508e0b,nova,nova_uk,Han Pick'em,pickem,Han Pick'em,low6,archived
69e9921bcdda2ced3244ca33cb885d23,nova,nova_uk,Hibs Picks,pickem,Hibs Picks,low6,archived
e29853b58ba802ca0b4fe27ee2abf625,nova,nova_uk,Kick Off Vs,pickem,Kick Off Vs,low6,archived
68275b10736e012627d31a27408c8443,nova,nova_uk,Linnets Bet,pickem,Linnets Bet,low6,archived
53d7c15431da18ed8e2339e3904b6ba5,nova,nova_uk,Low6,pickem,Low6,low6,archived
99ddeb7c25c1a68fb1fd34a6e76c3297,nova,nova_uk,OldhamPicks,pickem,OldhamPicks,low6,archived
6d9f23160574769374cf827f33e668e6,nova,nova_uk,OozingPicks,pickem,OozingPicks,low6,archived
de0b7f40a3b560c4998148cdd01cf8b6,nova,nova_uk,OUFC Picks,pickem,OUFC Picks,low6,archived
0f5f8ba05e13db76d56578aac93f747f,nova,nova_uk,Pars Picks,pickem,Pars Picks,low6,archived
79f3cad9434f74f5214d691a99f01954,nova,nova_uk,PDC Picks,pickem,PDC Picks,low6,archived
a1160287b9d166ff0104dfd9dd42d837,nova,nova_uk,Posh Prds,pickem,Posh Prds,low6,archived
1f64a0a2f1ff30c281d571e553f3808b,nova,nova_uk,RedmenPicks,pickem,RedmenPicks,low6,archived
b95654cf9661255278e28fa4f7b2aa45,nova,nova_uk,RFC Picks,pickem,RFC Picks,low6,archived
549e80d3f2b0072c4342e8249792465e,nova,nova_uk,Rvrs Select,pickem,Rvrs Select,low6,archived
5ccdcd7aac4663d7ec9b5054a0a43140,nova,nova_uk,SAFC Picks,pickem,SAFC Picks,low6,archived
95dbea9595c7edd51a57b251327e3479,nova,nova_uk,Steelmen,pickem,Steelmen,low6,archived
03d4e947f0a474fca4b7b53af76f1b4c,nova,nova_uk,TigersPicks,pickem,TigersPicks,low6,archived
647b8bddb865b8ac6dd4e8c1b342329a,nova,nova_uk,ToffeePicks,pickem,ToffeePicks,low6,archived
f003e99c31b347053dc52f7b30f6d5c9,nova,nova_uk,TOTO,pickem,TOTO,low6,archived
bbbabc1401e985e1f4439de946b0122b,nova,nova_uk,TUS Picks,pickem,TUS Picks,low6,archived
35745fb564d0e7bbdf88e217762945f2,nova,nova_uk,UFC Picks,pickem,UFC Picks,low6,archived
1cdab3e53d662d4fbf381aee8b35bb48,nova,nova_uk,Us Picks,pickem,Us Picks,low6,archived
ba23a32b69362e52a57917a883480dbe,nova,nova_uk,Weds Picks,pickem,Weds Picks,low6,archived
9dd074af026ab44ac1a32cdc8f822182,nova,nova_uk,Weekly7,pickem,Weekly7,low6,archived
bad0d05425195babfe141359fd7e9194,nova,nova_uk,Wyc Picks,pickem,Wyc Picks,low6,archived
aced41ba6100307c0f4504985145e3a0,novibet,novibet_copa_predictor_bracket,Novibet Copa Predictor Bracket,bracket,,low6,archived
cab9ea77e3c36e2cc5d45c7d0a9701ae,oddschecker,oddschecker_bingo,Oddschecker Bingo,bingo,,low6,archived
e6307ebbe773fbdfd73f757183a4478a,oddschecker,oddschecker_predictor,Oddschecker Predictor,pickem,,low6,archived
a47bf470f40ad6bf3377961115c12193,oddschecker,oddschecker_spintowin,Oddschecker Spin to Win,instant_win,,low6_azureuksouth,live
7f560e09081ebfb0a1926491c6c926b8,olybet,olybet_casino,OlyBet Casino,instant_win,,low6_azureeastus2,live
81cea7e72a0f26c70c72186b27bfd3ea,opap,opap_picks,OPAP Picks,pickem,,low6,live
46e48e071774fb92d79bbe7a743a4ae5,opap,opap_spintowin,OPAP Spin to Win,spin_to_win,,low6_azureeastus2,live
773ed807dcc80d64622da954d8b9bf71,opta,opta_bracket_mm,Opta Bracket MM,bracket,,low6,archived
c0033bc98595366fe1a9d7af0dac7a58,opta,opta_games_hub,Opta Games Hub,pickem,,low6_us,archived
